Radius_km	Time_Myr	Dynamo_start_Myr	Dynamo_duration_Myr
492	1.0507102	5.1805816	18.904881
461	1.8181846	5.0927896	16.297504
350	0.33706239	4.802742	7.8575878
308	1.3110608	4.6664705	5.2832241
450	1.0779535	5.0771065	15.371794
438	1.3336942	5.0478272	14.389256
166	1.5888356	0	0
46	2.0015585	0	0
105	0.1297576	0	0
197	0.62366146	0	0
338	1.7750719	4.7559614	7.0927181
279	0.24632002	4.5626569	3.6723599
86	2.0047235	0	0
24	0.75938171	0	0
215	1.4105599	0	0
64	0.74299324	0	0
128	1.3595101	0	0
196	0.71513605	0	0
186	2.0598781	0	0
397	1.6665349	4.9380932	11.173983
418	0.5661729	4.9958181	12.789039
149	0.32974091	0	0
236	0.81781936	4.3907542	1.2026935
262	1.1402167	4.4982228	2.7444892
189	1.7697579	0	0
235	0.86173081	4.386939	1.1352797
86	1.6673565	0	0
421	0.54187816	5.0026884	13.02576
407	0.87758833	4.9656029	11.933638
424	1.8604646	4.980341	13.290565
84	1.1831063	0	0
339	0.19203185	4.7677274	7.148891
37	1.6459825	0	0
83	1.4292722	0	0
25	1.1091393	0	0
500	2.0399568	4.6028905	20.141356
360	1.8100682	4.8173709	8.5373077
117	1.9679426	0	0
216	1.5332836	0	0
379	1.3430645	4.8880725	9.8502884
495	1.3232032	5.1877837	19.159882
317	0.85230112	4.6957717	5.8061976
44	0.22029935	0	0
39	1.6639361	0	0
347	0.45312673	4.7916145	7.6616554
486	0.10630137	5.1659622	18.393356
109	1.1850011	0	0
333	0.71491307	4.7489996	6.7730627
188	1.7096313	0	0
341	1.2796845	4.7739944	7.2757664
372	1.4268712	4.8664312	9.3531704
137	0.52987915	0	0
373	0.55039084	4.8706188	9.4236174
219	1.8622243	0	0
282	1.9412781	4.4060874	3.9884744
395	1.0321515	4.9334564	11.02307
260	1.3068622	4.4917827	2.6338496
234	0.30251166	4.3837614	1.0671225
486	1.9713751	4.9793043	18.556831
128	1.0177332	0	0
449	0.72306514	5.0775251	15.289931
185	1.1521113	0	0
478	1.0314229	5.1477776	17.714783
324	1.1304483	4.719759	6.2229719
219	1.0039713	0	0
154	1.823331	0	0
362	1.1016163	4.8387151	8.6607742
448	0.9847846	5.0733027	15.207451
221	0.67506319	4.3246651	0.028279781
42	0.26770023	0	0
321	1.4678352	4.7086439	6.0432711
146	0.062756918	0	0
136	0.5915795	0	0
282	1.4613228	4.573204	3.8355293
324	1.641265	4.7189908	6.2234054
115	0.91264439	0	0
334	0.37681109	4.751019	6.8351693
461	0.504942	5.1066599	16.28561
352	1.0519483	4.8074546	7.9894862
207	1.181388	0	0
118	0.027444469	0	0
276	0.078141429	4.551589	3.5091143
118	1.5366814	0	0
141	1.339182	0	0
61	0.66938418	0	0
161	0.90810925	0	0
72	1.691215	0	0
278	0.13915738	4.5582948	3.6178098
113	0.18114389	0	0
488	2.009846	4.8230596	18.877008
363	0.34890759	4.8428764	8.7290783
457	0.17697804	5.0949626	15.952353
191	1.9987867	0	0
400	0.73667252	4.9478683	11.399569
27	0.1335804	0	0
40	0.49205494	0	0
355	1.5886046	4.8156724	8.1887512
475	0.60919774	5.1410599	17.461662
94	1.4278949	0	0
